:START_ID,:END_ID,:TYPE
entity_744,entity_5130,located_at
entity_744,entity_5131,has
entity_2833,entity_5132,allows
entity_5133,entity_2883,has
entity_4714,entity_5134,has
entity_2875,entity_5135,located_at
entity_3634,entity_2874,should_install
entity_5123,entity_5136,is_in
entity_5137,entity_1669,has
entity_5137,entity_2888,has
entity_2881,entity_5138,controls
entity_5139,entity_5140,can_be_adopted
entity_2876,entity_2890,uses
entity_2876,entity_2891,uses
entity_2876,entity_2892,uses
entity_2876,entity_2893,uses
entity_2876,entity_1765,uses
entity_1662,entity_525,located_at
entity_1662,entity_1741,connects_to
entity_1662,entity_1683,connects_to
entity_1662,entity_5141,connects_to
entity_1662,entity_2889,uses
entity_965,entity_5142,contains
entity_965,entity_5143,contains
entity_965,entity_2913,contains
entity_965,entity_2912,contains
entity_965,entity_2874,contains
entity_965,entity_5144,contains
entity_965,entity_660,contains
entity_965,entity_2909,contains
entity_965,entity_2910,contains
entity_965,entity_2911,contains
entity_965,entity_5145,contains
entity_965,entity_783,contains
entity_965,entity_2905,contains
entity_965,entity_1628,contains
entity_965,entity_2895,contains
entity_965,entity_658,contains
entity_965,entity_1637,has
entity_965,entity_5146,uses
entity_965,entity_5147,uses
entity_965,entity_5092,uses
entity_965,entity_5148,uses
entity_965,entity_5149,uses
entity_744,entity_2894,contains
entity_2894,entity_2877,located_at
entity_2894,entity_5150,located_at
entity_2906,entity_2894,contains
entity_2907,entity_2894,contains
entity_2908,entity_2894,contains
entity_2895,entity_2877,located_at
entity_2895,entity_2921,part_of
entity_2895,entity_5151,has
entity_2895,entity_5152,has
entity_2895,entity_5153,has
entity_2895,entity_2897,has
entity_2896,entity_2895,located_at
entity_2896,entity_5154,has
entity_2896,entity_4510,has
entity_2921,entity_5155,part_of
entity_2921,entity_254,belongs_to
entity_2921,entity_5156,used_by
entity_2898,entity_5157,located_at
entity_2898,entity_2918,has
entity_2898,entity_2330,has
entity_2898,entity_2899,connects_to
entity_2898,entity_2918,contains
entity_2898,entity_2330,contains
entity_2898,entity_5157,part_of
entity_2900,entity_2357,has
entity_2900,entity_5158,has
entity_2898,entity_2916,requires
entity_2898,entity_2915,located_at
entity_2898,entity_5159,located_at
entity_1759,entity_1818,has
entity_1759,entity_4192,requires
entity_2901,entity_5160,used_for
entity_2901,entity_5161,used_for
entity_5162,entity_5163,depends_on
entity_5162,entity_5164,applied_to
entity_5162,entity_5165,applied_to
entity_1969,entity_2901,has
entity_1969,entity_658,has
entity_1969,entity_1679,has
entity_1969,entity_5166,contains
entity_1969,entity_5142,contains
entity_5142,entity_5167,has
entity_5142,entity_3634,contains
entity_3634,entity_5168,connects_to
entity_5168,entity_744,located_at
entity_5169,entity_950,located_at
entity_5169,entity_4241,located_at
entity_5169,entity_951,located_at
entity_5142,entity_5170,has
entity_2901,entity_5142,used_by
entity_2922,entity_1783,located_at
entity_2904,entity_1976,located_at
entity_5171,entity_2473,flows_to
entity_2924,entity_5168,has
entity_2902,entity_2914,used_with
entity_2914,entity_2902,used_with
entity_2925,entity_5172,shows
entity_2925,entity_2902,shows
entity_2925,entity_2914,shows
entity_2926,entity_5173,shows
entity_2926,entity_3540,belongs_to
entity_2901,entity_2927,uses
entity_2927,entity_5101,has
entity_2928,entity_5101,has
entity_2928,entity_5174,uses
entity_2929,entity_5175,uses
entity_2929,entity_5176,uses
entity_2930,entity_2894,connects_to
entity_2931,entity_5177,belongs_to
entity_2931,entity_791,applied_to
entity_2932,entity_5177,belongs_to
entity_2932,entity_791,applied_to
entity_2753,entity_5178,applied_to
entity_2753,entity_5179,has
entity_2753,entity_4274,part_of
entity_2753,entity_791,acts_on
entity_2753,entity_2935,uses
entity_2753,entity_2934,uses
entity_2934,entity_5180,acts_on
entity_2934,entity_5181,acts_on
entity_2933,entity_2753,part_of
entity_2933,entity_783,located_at
entity_1720,entity_2753,connects_to
entity_524,entity_2753,connects_to
entity_4274,entity_1720,contains
entity_4274,entity_524,contains
entity_1720,entity_2753,connects_to
entity_524,entity_2753,connects_to
entity_2753,entity_97,uses
entity_4274,entity_791,contains
entity_791,entity_97,acts_on
entity_791,entity_5182,has
entity_791,entity_5183,has
entity_4274,entity_5184,has
entity_5184,entity_5185,affects
entity_4274,entity_5186,contains
entity_5186,entity_5187,uses
entity_791,entity_5188,has
entity_791,entity_5189,uses
entity_791,entity_5190,uses
entity_791,entity_5191,uses
entity_791,entity_5146,uses
entity_791,entity_3021,uses
entity_791,entity_5192,uses
entity_791,entity_5193,uses
entity_791,entity_660,connects_to
entity_660,entity_5194,connects_to
entity_5194,entity_5195,connects_to
entity_5195,entity_3021,uses
entity_791,entity_5196,has
entity_791,entity_1679,has
entity_2939,entity_4142,applied_to
entity_2940,entity_190,acts_on
entity_2940,entity_5197,determines
entity_5197,entity_4367,affects
entity_2941,entity_1771,acts_on
entity_2941,entity_633,determines
entity_633,entity_4367,affects
entity_2939,entity_5198,replaces
entity_2460,entity_4367,affects
entity_2460,entity_5199,determines
entity_2460,entity_5200,affects
entity_2460,entity_832,determines
entity_633,entity_5200,acts_on
entity_5201,entity_3044,contains
entity_3044,entity_5202,applied_to
entity_4728,entity_5200,acts_on
entity_5203,entity_5201,contains
entity_5203,entity_5204,contains
entity_5205,entity_5206,acts_on
entity_2893,entity_5206,acts_on
entity_5207,entity_2460,has
entity_5208,entity_5209,has
entity_5210,entity_5207,flows_from
entity_5210,entity_5208,flows_to
entity_5211,entity_5207,moves_to
entity_5212,entity_5208,moves_to
entity_633,entity_346,acts_on
entity_633,entity_1490,acts_on
entity_4728,entity_346,acts_on
entity_2283,entity_346,acts_on
entity_736,entity_2460,affects
entity_2942,entity_633,belongs_to
entity_2942,entity_965,acts_on
entity_346,entity_1490,has
entity_2460,entity_965,affects
entity_2944,entity_5213,belongs_to
entity_2945,entity_5213,belongs_to
entity_2946,entity_5213,belongs_to
entity_2946,entity_5214,belongs_to
entity_2945,entity_5215,acts_on
entity_5216,entity_2944,causes
entity_2946,entity_5217,occurs_in
entity_2946,entity_5218,causes
entity_2947,entity_5219,belongs_to
entity_254,entity_2947,specifies
entity_2947,entity_5219,belongs_to
entity_2947,entity_5220,applied_to
entity_2947,entity_5221,determines
entity_2460,entity_5204,acts_on
entity_2460,entity_4367,affects
entity_2939,entity_688,uses
entity_2939,entity_5222,uses
entity_688,entity_5223,applied_to
entity_688,entity_5204,acts_on
entity_2948,entity_2330,uses
entity_2330,entity_5224,belongs_to
entity_2948,entity_5225,replaces
entity_2949,entity_5226,uses
entity_2949,entity_5227,belongs_to
entity_2951,entity_5228,used_for
entity_2951,entity_5229,used_for
entity_2963,entity_2948,used_for
entity_40,entity_2948,used_for
entity_2964,entity_2948,used_for
entity_2953,entity_5230,not_used_for
entity_2953,entity_5231,not_used_for
entity_2952,entity_4274,used_for
entity_2952,entity_5232,installed_at
entity_2330,entity_697,installed_on
entity_2330,entity_732,installed_in
entity_2949,entity_5233,uses
entity_2949,entity_5234,uses
entity_2949,entity_2959,uses
entity_2949,entity_2960,uses
entity_2949,entity_5235,uses
entity_2949,entity_2957,uses
entity_2949,entity_2958,contains
entity_2949,entity_2959,contains
entity_2949,entity_2960,contains
entity_2949,entity_5207,contains
entity_2949,entity_2950,uses
entity_2949,entity_1771,applied_to
entity_2949,entity_714,affects
entity_2949,entity_5236,has
entity_5236,entity_2965,contains
entity_5236,entity_2966,contains
entity_5236,entity_2967,contains
entity_5236,entity_2968,contains
entity_5236,entity_2956,contains
entity_2949,entity_5237,replaces
entity_2949,entity_1771,located_at
entity_2950,entity_2389,uses
entity_2950,entity_2961,uses
entity_2961,entity_2969,contains
entity_2961,entity_2970,contains
entity_2961,entity_2962,acts_on
entity_2950,entity_771,applied_to
entity_2950,entity_2460,affects
entity_2354,entity_2961,uses
entity_2961,entity_2443,contains
entity_2961,entity_2969,contains
entity_2961,entity_2970,uses
entity_2961,entity_2972,uses
entity_2961,entity_2971,contains
entity_2961,entity_2973,contains
entity_2961,entity_2441,contains
entity_2961,entity_679,contains
entity_2961,entity_2974,contains
entity_2961,entity_5238,applied_to
entity_2961,entity_2460,affects
entity_681,entity_2983,uses
entity_2312,entity_681,uses
entity_2312,entity_2983,uses
entity_681,entity_5239,applied_to
entity_2975,entity_681,consists_of
entity_2975,entity_5240,consists_of
entity_2976,entity_5241,consists_of
entity_2976,entity_681,consists_of
entity_2976,entity_3873,applied_to
entity_2961,entity_681,consists_of
entity_2961,entity_5222,applied_to
entity_2443,entity_2427,applied_to
entity_2443,entity_2428,applied_to
entity_2443,entity_642,applied_to
entity_679,entity_5242,applied_to
entity_679,entity_5243,applied_to
entity_679,entity_644,applied_to
entity_679,entity_645,applied_to
entity_682,entity_4791,belongs_to
entity_682,entity_5244,belongs_to
entity_682,entity_2427,used_for
entity_682,entity_642,used_for
entity_682,entity_644,used_for
entity_682,entity_645,used_for
entity_682,entity_2462,has
entity_682,entity_5245,has
entity_682,entity_5246,used_for
entity_682,entity_5247,used_for
entity_682,entity_2961,belongs_to
entity_682,entity_5248,has
entity_682,entity_5249,used_for
entity_682,entity_2367,used_for
entity_682,entity_5250,has
entity_682,entity_5251,has
entity_2977,entity_4791,belongs_to
entity_2977,entity_5252,produced_from
entity_2977,entity_5253,produced_by
entity_2977,entity_5254,has
entity_2977,entity_5255,has
entity_2977,entity_2961,belongs_to
entity_2977,entity_5248,has
entity_2978,entity_4791,belongs_to
entity_2978,entity_5256,produced_from
entity_2978,entity_5257,produced_from
entity_2978,entity_5258,produces
entity_2978,entity_3016,used_for
entity_2978,entity_2463,has
entity_2978,entity_5259,has
entity_2978,entity_5260,used_for
entity_2978,entity_5261,used_for
entity_2978,entity_5262,used_for
entity_2978,entity_5263,used_for
entity_2978,entity_5264,used_for
entity_2978,entity_4513,has
entity_2978,entity_4511,has
entity_2978,entity_5265,has
entity_2978,entity_2472,has
entity_2978,entity_5245,has
entity_2978,entity_5266,has
entity_2978,entity_5267,not_used_for
entity_2978,entity_1794,used_for
entity_2978,entity_5268,used_for
entity_2978,entity_5265,has
entity_680,entity_5269,used_in
entity_680,entity_5270,applied_to
entity_2979,entity_5271,contains
entity_2979,entity_5272,has
entity_2979,entity_681,uses
entity_2979,entity_682,uses
entity_2354,entity_2460,affects
entity_2354,entity_5273,applied_to
entity_2354,entity_2389,contains
entity_2389,entity_2892,acts_on
entity_2980,entity_2389,belongs_to
entity_2980,entity_2892,acts_on
entity_2981,entity_2389,belongs_to
entity_2981,entity_2892,acts_on
entity_2982,entity_2354,belongs_to
entity_2982,entity_2892,acts_on
entity_2985,entity_2992,uses
entity_2992,entity_2989,contains
entity_2992,entity_2990,contains
entity_2992,entity_2991,contains
entity_2989,entity_2990,acts_on
entity_2991,entity_5274,regulates
entity_2103,entity_5275,used_in
entity_965,entity_5146,located_at
entity_697,entity_5146,acts_on
entity_697,entity_5276,affects
entity_2992,entity_697,applied_to
entity_2991,entity_5277,part_of
entity_2992,entity_776,uses
entity_2992,entity_5274,affects
entity_641,entity_2389,contains
entity_641,entity_2961,contains
entity_2389,entity_2893,contains
entity_641,entity_4830,has
entity_2986,entity_4830,has
entity_2986,entity_3000,affects
entity_2986,entity_2357,has
entity_2986,entity_3003,affects
entity_3002,entity_3001,affects
entity_641,entity_5278,contains
entity_641,entity_1712,applied_to
entity_4202,entity_641,has
entity_1969,entity_641,has
entity_311,entity_641,uses
entity_641,entity_3003,improves
entity_641,entity_5279,replaces
entity_2986,entity_5280,enables
entity_2986,entity_5281,has
entity_2986,entity_3001,affects
entity_2996,entity_641,uses
entity_2987,entity_641,uses
entity_2987,entity_2355,acts_on
entity_2987,entity_5282,affects
entity_2997,entity_2988,prohibits
entity_2997,entity_5283,applies_to
entity_2988,entity_2999,belongs_to
entity_2999,entity_5284,has
entity_2987,entity_3004,limits
entity_3005,entity_2355,acts_on
entity_2987,entity_3006,releases
entity_2987,entity_5285,releases
entity_2987,entity_5286,affects
entity_2997,entity_2998,applies_to
entity_2997,entity_2637,applies_to
entity_2997,entity_2636,applies_to
entity_3006,entity_5287,has
entity_2988,entity_5287,has
entity_2988,entity_5288,affects
entity_641,entity_2893,uses
entity_641,entity_2993,uses
entity_3873,entity_2994,requires
entity_2354,entity_4791,belongs_to
entity_2994,entity_1490,acts_on
entity_1490,entity_2892,forms_on
entity_2995,entity_965,applied_to
entity_2995,entity_2994,inputs
entity_2354,entity_697,applied_to
entity_2354,entity_788,applied_to
entity_2354,entity_2460,affects
entity_965,entity_571,located_at
entity_805,entity_571,located_at
entity_805,entity_455,precedes
entity_2994,entity_805,precedes
entity_2354,entity_5289,has
entity_2354,entity_5290,has
entity_641,entity_5291,has
entity_641,entity_5292,has
entity_641,entity_733,has
entity_3007,entity_2994,applied_to
entity_3007,entity_5293,uses
entity_3007,entity_5215,acts_on
entity_3007,entity_3009,replaces
entity_3007,entity_5294,located_at
entity_3007,entity_5295,improves
entity_3007,entity_5296,prepares_for
entity_3007,entity_5297,enables
entity_1489,entity_2994,applied_to
entity_1489,entity_5298,uses
entity_1489,entity_5215,acts_on
entity_1489,entity_3008,replaces
entity_1489,entity_5296,prepares_for
entity_1489,entity_5299,inputs
entity_1489,entity_2672,inputs
entity_1489,entity_5300,outputs
entity_1489,entity_3656,affects
entity_1489,entity_5295,improves
entity_1489,entity_260,located_at
entity_1489,entity_5296,enables
entity_3008,entity_5301,acts_on
entity_3008,entity_5302,applied_to
entity_3007,entity_5303,applied_to
entity_3007,entity_5304,replaces
entity_3010,entity_5304,replaces
entity_3010,entity_5305,produces
entity_3010,entity_5306,has
entity_1489,entity_5307,applied_to
entity_1489,entity_5308,has
entity_5309,entity_5310,applied_to
entity_5309,entity_5311,has
entity_5312,entity_5313,prepares_for
entity_5312,entity_5314,located_at
entity_3007,entity_962,belongs_to
entity_3008,entity_962,belongs_to
entity_3010,entity_962,belongs_to
entity_1489,entity_962,belongs_to
entity_5309,entity_962,belongs_to
entity_3007,entity_1514,applied_to
entity_379,entity_681,uses
entity_379,entity_2982,uses
entity_379,entity_5315,compatibility
entity_2367,entity_805,applied_to
entity_2367,entity_5316,has
entity_2367,entity_697,located_at
entity_1423,entity_697,located_at
entity_1423,entity_805,has
entity_1423,entity_697,located_at
entity_5317,entity_2354,applied_to
entity_5317,entity_5318,has
entity_1531,entity_5319,applied_to
entity_1531,entity_5320,has
entity_1531,entity_2367,applied_to
entity_1531,entity_5321,applied_to
entity_1531,entity_1794,applied_to
entity_2367,entity_1635,uses
entity_2367,entity_641,uses
entity_2367,entity_2443,uses
entity_2367,entity_682,uses
entity_2367,entity_3011,uses
entity_2367,entity_3012,uses
entity_3016,entity_680,uses
entity_3016,entity_3017,uses
entity_3016,entity_2978,uses
entity_1794,entity_3013,uses
entity_1794,entity_2981,uses
entity_1794,entity_3014,uses
entity_1794,entity_1725,uses
entity_791,entity_5249,uses
entity_732,entity_5249,uses
entity_791,entity_2460,affects
entity_791,entity_5322,affects
entity_791,entity_3023,uses
entity_791,entity_3024,uses
entity_791,entity_3025,uses
entity_791,entity_3022,contains
entity_791,entity_3021,contains
entity_732,entity_2460,affects
entity_732,entity_2460,affects
entity_732,entity_3023,uses
entity_732,entity_3024,uses
entity_732,entity_3025,uses
entity_3020,entity_2460,affects
entity_3020,entity_2460,affects
entity_3020,entity_3023,uses
entity_3020,entity_3024,uses
entity_3020,entity_3025,uses
entity_3026,entity_965,enables
entity_3026,entity_1807,affects
entity_376,entity_965,applied_to
entity_376,entity_3634,applied_to
entity_376,entity_5224,applied_to
entity_376,entity_5323,applied_to
entity_4719,entity_965,enables
entity_4719,entity_5324,enables
entity_4719,entity_4192,enables
entity_4719,entity_15,enables
entity_4719,entity_410,enables
entity_3028,entity_5325,part_of
entity_3029,entity_5325,part_of
entity_3030,entity_5326,part_of
entity_3030,entity_5327,part_of
entity_3031,entity_5328,part_of
entity_3031,entity_5329,uses
entity_3032,entity_5330,part_of
entity_3032,entity_5331,part_of
entity_3035,entity_5332,part_of
entity_3035,entity_5333,part_of
entity_3035,entity_5334,part_of
entity_3035,entity_5335,controls
entity_3035,entity_5336,controls
entity_5323,entity_5337,similar_to
entity_5338,entity_5339,part_of
entity_5340,entity_4275,part_of
entity_5340,entity_5341,composed_of
entity_5340,entity_3029,composed_of
entity_3036,entity_5342,part_of
entity_3037,entity_5342,part_of
entity_3037,entity_791,connects_to
entity_3027,entity_791,part_of
entity_3027,entity_783,part_of
entity_3027,entity_5326,part_of
entity_3027,entity_5327,part_of
entity_3027,entity_5328,part_of
entity_3027,entity_791,part_of
entity_3027,entity_5332,part_of
entity_3027,entity_5333,part_of
entity_3027,entity_5334,part_of
entity_4275,entity_3038,contains
entity_4275,entity_791,contains
entity_3038,entity_1807,used_for
entity_791,entity_5343,used_for
entity_791,entity_2764,contains
entity_791,entity_3061,has
entity_1807,entity_3038,located_at
entity_3039,entity_5344,located_at
entity_1773,entity_3039,supports
entity_3040,entity_791,located_at
entity_3041,entity_3042,located_at
entity_3042,entity_5345,used_for
entity_3045,entity_5202,used_for
entity_3046,entity_5202,used_for
entity_3043,entity_5346,used_for
entity_3047,entity_5347,used_for
entity_3048,entity_5345,used_for
entity_3049,entity_5348,used_for
entity_4000,entity_3061,shows
entity_1810,entity_5349,has
entity_5350,entity_4000,has
entity_3038,entity_5351,requires
entity_5351,entity_3050,uses
entity_5351,entity_3051,uses
entity_5351,entity_3052,uses
entity_5351,entity_3053,uses
entity_3051,entity_5352,has
entity_3051,entity_5353,has
entity_3051,entity_5354,has
entity_3051,entity_5355,has
entity_3054,entity_5356,has
entity_3054,entity_5357,has
entity_3057,entity_1770,located_at
entity_3057,entity_1772,located_at
entity_3057,entity_5358,has
entity_3057,entity_3050,preferred
entity_3057,entity_5359,can_use
entity_3057,entity_5360,can_use
entity_3057,entity_2357,determines
entity_3058,entity_2357,determines
entity_3057,entity_3055,applied_to
entity_3057,entity_3056,applied_to
entity_3057,entity_3382,applied_to
entity_3057,entity_520,applied_to
entity_1969,entity_5357,has
entity_5361,entity_3061,has
entity_3061,entity_3059,has
entity_3059,entity_2357,has
entity_3059,entity_5362,has
entity_3060,entity_2357,has
entity_3060,entity_5363,has
entity_5364,entity_5365,has
entity_5366,entity_744,has
entity_5366,entity_1664,has
entity_5367,entity_3057,has
entity_1838,entity_3057,has
entity_5368,entity_1662,has
entity_1662,entity_5369,affects
entity_1773,entity_5370,connects_to
entity_3062,entity_5371,located_at
entity_3062,entity_5146,has
entity_5146,entity_5372,forms
entity_5372,entity_5373,prevents
entity_5343,entity_5374,transported_by
entity_2759,entity_5375,equipped_with
entity_5375,entity_5376,replaces
entity_3064,entity_5377,has
entity_5378,entity_3065,equipped_with
entity_3065,entity_5379,connects_to
entity_3066,entity_5379,connects_to
entity_5380,entity_5357,has
entity_5381,entity_5357,does_not_have
entity_5382,entity_5383,insulated_with
entity_1773,entity_5384,insulated_with
entity_5385,entity_5386,located_at
entity_5387,entity_5388,powered_by
entity_5389,entity_5390,connected_to
entity_5391,entity_5392,uses
entity_3067,entity_5389,drives
entity_5389,entity_791,located_at
entity_5389,entity_1854,located_at
entity_693,entity_4142,responsible_for
entity_693,entity_5393,responsible_for
entity_693,entity_877,responsible_for
entity_693,entity_5394,responsible_for
entity_693,entity_712,responsible_for
entity_693,entity_4433,responsible_for
entity_693,entity_5395,enables
entity_693,entity_5396,enables
entity_693,entity_5397,enables
entity_693,entity_3071,enables
entity_3071,entity_547,applied_to
entity_3071,entity_1969,applied_to
entity_693,entity_5398,enables
entity_5398,entity_1969,applied_to
entity_4080,entity_5399,belongs_to
entity_4080,entity_5400,determines
entity_4080,entity_5401,determines
entity_4080,entity_5402,determines
entity_4080,entity_5403,determines
entity_4080,entity_5404,determines
entity_3073,entity_5405,belongs_to
entity_3073,entity_5406,responsible_for
entity_3073,entity_5407,responsible_for
entity_3074,entity_5408,requires
entity_3069,entity_5409,determines
entity_3069,entity_3075,determines
entity_3069,entity_3076,determines
entity_3069,entity_3077,determines
entity_3075,entity_5410,applies_to
entity_3076,entity_5410,applies_to
entity_3077,entity_5410,applies_to
entity_4845,entity_965,applies_to
entity_3074,entity_5411,applies_to
entity_4845,entity_4840,determines
entity_5410,entity_3078,requires
entity_4274,entity_3079,requires
entity_5412,entity_3079,requires
entity_5413,entity_3080,requires
entity_5413,entity_3081,requires
entity_5137,entity_3082,requires
entity_5410,entity_3082,requires
entity_5414,entity_3083,requires
entity_254,entity_5415,issues
entity_254,entity_5416,issues
entity_254,entity_5417,certifies
entity_3085,entity_3084,determines
entity_3084,entity_965,applied_to
entity_3085,entity_5418,determines
entity_3084,entity_5419,enables
entity_3085,entity_5420,has
entity_3086,entity_5420,has
entity_3086,entity_5421,determines
entity_3084,entity_5422,constrained_by
entity_3084,entity_4142,precedes
entity_3086,entity_2656,determines
entity_2785,entity_5423,has
entity_4249,entity_3086,affects
entity_2655,entity_3086,affects
entity_1745,entity_3086,affects
entity_3072,entity_5424,belongs_to
entity_3083,entity_5425,issued_by
entity_254,entity_5426,authorized_to
entity_254,entity_5427,authorized_to
entity_3085,entity_4246,uses
entity_3086,entity_4246,uses
entity_3088,entity_5428,determines
entity_3087,entity_5428,determines
entity_693,entity_5429,recognizes
entity_5430,entity_5431,develops
entity_5430,entity_4264,uses
entity_5430,entity_5432,measures
entity_5433,entity_254,authorizes
entity_5434,entity_254,authorizes
entity_3089,entity_3085,determined_by
entity_3089,entity_282,determined_by
entity_3089,entity_4210,determined_by
entity_3089,entity_5435,determines
entity_3085,entity_5435,affects
entity_3089,entity_3085,uses
entity_3089,entity_5436,determined_by
entity_5436,entity_4210,determined_by
entity_5436,entity_282,determined_by
entity_3090,entity_5437,belongs_to
entity_3091,entity_5437,belongs_to
entity_3092,entity_5437,belongs_to
entity_3089,entity_3085,refines
entity_1745,entity_1702,determined_by
entity_1745,entity_4210,determined_by
entity_1745,entity_2530,affects
entity_1745,entity_2531,affects
entity_1745,entity_1775,constrained_by
entity_1775,entity_4792,belongs_to
entity_864,entity_4142,applied_to
entity_1745,entity_2530,determines
entity_1745,entity_4792,constrained_by
entity_1745,entity_2531,affects
entity_1745,entity_2656,determines
entity_1745,entity_5438,determines
entity_1745,entity_5439,determines
entity_1745,entity_5440,determines
entity_1745,entity_5441,determines
entity_1745,entity_5442,determines
entity_1745,entity_5443,determines
entity_1745,entity_5444,determines
entity_1745,entity_5445,determines
entity_1745,entity_5446,determines
entity_1745,entity_5447,determines
entity_1745,entity_5448,determines
entity_1745,entity_5449,determines
entity_1745,entity_5450,determines
entity_1745,entity_5451,determines
entity_1745,entity_5452,determines
entity_1745,entity_5453,determines
entity_1745,entity_5454,determines
entity_1745,entity_712,determines
entity_1745,entity_4142,determines
entity_1745,entity_5455,determines
entity_1745,entity_5456,determines
entity_1745,entity_283,determines
entity_1745,entity_5319,determines
entity_1745,entity_5457,determines
entity_1745,entity_5458,determines
entity_1745,entity_5393,determines
entity_1745,entity_5459,determines
entity_1745,entity_5460,determines
entity_1745,entity_5461,determines
entity_1745,entity_5462,determines
entity_1745,entity_5463,determines
entity_1745,entity_5464,determines
entity_1745,entity_5465,determines
entity_1745,entity_5466,determines
entity_1745,entity_5467,determines
entity_1745,entity_5468,determines
entity_1745,entity_5469,determines
entity_1745,entity_5451,determines
entity_1745,entity_5460,determines
entity_1745,entity_5461,determines
entity_1745,entity_5462,determines
entity_1745,entity_5463,determines
entity_1745,entity_5464,determines
entity_1745,entity_5465,determines
entity_1745,entity_5466,determines
entity_1745,entity_5467,determines
entity_1745,entity_5468,determines
entity_1745,entity_5469,determines
entity_1664,entity_1823,supports
entity_1823,entity_1741,part_of
entity_1741,entity_1770,part_of
entity_1823,entity_18,has
entity_4820,entity_4867,has
entity_4820,entity_5470,has
entity_4820,entity_5471,has
entity_4820,entity_5472,has
entity_4820,entity_1745,has
entity_1745,entity_2530,determines
entity_1745,entity_5473,affects
entity_4820,entity_965,belongs_to
entity_4819,entity_965,belongs_to
entity_4821,entity_4820,belongs_to
entity_1745,entity_4823,constrained_by
entity_1745,entity_1702,constrained_by
entity_1745,entity_283,constrained_by
entity_1745,entity_5472,constrained_by
entity_1745,entity_4867,constrained_by
entity_1745,entity_1823,constrained_by
entity_3141,entity_4510,has
entity_3141,entity_5474,has
entity_538,entity_415,supports
entity_538,entity_1092,supports
entity_538,entity_3333,applied_to
entity_538,entity_2224,applied_to
entity_538,entity_3152,applied_to
entity_538,entity_5009,has
entity_538,entity_3153,has
entity_538,entity_337,has
entity_538,entity_2357,has
entity_538,entity_1334,has
entity_538,entity_1674,has
entity_538,entity_3119,has
entity_538,entity_5034,has
entity_538,entity_3216,has
entity_538,entity_1392,has
entity_538,entity_411,has
entity_538,entity_601,has
entity_538,entity_3142,has
entity_538,entity_3132,has
entity_538,entity_4089,has
entity_538,entity_498,has
entity_538,entity_1291,has
entity_538,entity_2892,has
entity_538,entity_15,has
entity_538,entity_2595,has
entity_538,entity_191,has
entity_538,entity_302,has
entity_538,entity_697,has
entity_538,entity_861,has
entity_456,entity_5475,applied_to
entity_456,entity_778,applied_to
entity_456,entity_779,applied_to
entity_456,entity_780,applied_to
entity_456,entity_1249,uses
entity_456,entity_763,produces
entity_456,entity_782,uses
entity_5475,entity_1249,uses
entity_5475,entity_3107,produces
entity_5475,entity_4134,produces
entity_5475,entity_415,produces
entity_5475,entity_3517,assembles_into
entity_781,entity_1249,uses
entity_781,entity_762,applied_to
entity_782,entity_965,refines
entity_782,entity_763,produces
entity_260,entity_456,uses
entity_260,entity_5476,has
entity_4202,entity_965,belongs_to
entity_4142,entity_3521,improves
entity_447,entity_261,located_at
entity_447,entity_264,located_at
entity_447,entity_263,located_at
entity_447,entity_5477,uses
entity_447,entity_5478,uses
