id:ID,name,summary,type,domain_relevance,entity_chunk_id,relation_chunk_id,:LABEL
entity_11,劳氏船级社,对船舶结构进行规范和审批的船级社，特别强调对大型船舶结构进行疲劳性能分析，并规定了板材屈曲能力和加强杆的检查规则。 | 船舶建造中用于批准焊接材料和工艺的船级社机构，确保焊接质量符合标准。 | 船舶设计需符合其标准，并得到其认可。 | 劳氏船级社要求：对于船长小于 $200mathrm{m}$ 的船的防撞舱壁位置为距设计水线最前端 $5% sim 8%$ 船长。表18.1阐述了劳氏船级社对于不同货船的水密舱壁数目要求。 | 提供舱口骨材最小尺寸计算公式的船级社，符合国际载重线公约要求。 | 负责船舶分类和入级的国际船级社，对液化天然气船的分类有明确规定。 | 对可移动甲板和集装箱导轨装置有规范要求的船级社，船舶需符合其规范以获得入级标志。 | 负责对船舶进行入级评定的国际船级社，其船级符号用于标识船舶符合特定建造标准和航行条件。 | 负责船舶入级和检验的船级社，对船舶的建造、检验、维修和特殊检验提出规范要求。 | 劳氏船级社对船舶建造用钢有规范要求，其关于材料制造、测试和认证规则的第3章中规定了A、B、D和E级钢的要求。 | 颁布了关于在新船建造和船舶维修时使用钢夹层板系统的暂行条例，包括建造流程、结构尺寸确定方法等。 | 规定船舶建造铝合金类型的标准机构，如5083-0、5083-F等。 | 规定船舶建造铝合金类型的标准机构，如5083-0、5083-F等。 | 劳氏船级社规定在船中40%部分具有最大的结构尺寸。,标准/机构|标准机构,domain_specific,20|27|30|46|51|64|68|10|11|13|14|15|19,1535|1368|1369|1371|1373|1382|1386|1414|1416|1449|1460|587|588|590|592|593|594|1523|601|605|627|633|635|754|847|849|679|742|1628|1630,标准
entity_12,应变片,用于实时监测船舶结构应力的设备，安装在甲板结构上，与加速计和软件系统配合使用。,设备,domain_specific,20,1416|635,设备
entity_13,加速计,用于实时监测船舶运动状态的设备，安装在甲板结构上，与应变片和软件系统配合使用。,设备,domain_specific,20,1416|635,设备
entity_14,个人计算机,用于实时显示船舶应力和运动信息的设备，与应变片和加速计配合使用。,设备,domain_specific,20,1416|635,设备
entity_15,焊接,用于船舶建造的主要连接方法，具有预制技术、水密性、快速生产等优势，已完全取代铆接。 | 用于船舶建造的连接工艺，相比铆接具有诸多优势，如接受预制技术、易于获得水密性和油密性接头、生产更快速、需要更少技术劳动。 | 型材构件边缘与板材连接的工艺，常用于船体结构的密性连接。 | 在装配过程中用于连接板材和型材的工艺，包括自动对接焊接、定位焊、封底焊接等。 | 船舶建造过程中连接结构部件的工艺，壳舾涂一体化建造法减少了焊接量和困难位置的焊接作业。 | 用于连接舱壁、甲板、隔板等结构的工艺，如水密舱壁边缘的双倍连续焊接。 | 船体结构装配后的连接工艺，包括角焊缝、对接缝等，尾总段焊接程序分阶段进行。 | 尾总段安装完除满档板外的全部外板后，即可进行焊接工作。焊接包括外板舱内对接缝的焊接、纵横骨架与外板间的角接缝的焊接，以及外板外表面碳刨开槽后进行封底焊。 | 用于连接肋骨、横梁、肋板等构件，形成框架结构。 | 改善舾装作业，特别是焊接的位置，使之从难以施焊的位置改变到易于焊接的俯焊位置，从而减少所需的工时和施工时间。 | 在单元装配或分段舾装中进行的作业，仅在存在大量或特殊焊接作业时进行。 | 船舶建造中用于连接金属构件的工艺，分为敞开空间内焊接和封闭空间内焊接，仅在存在特殊或大量焊接作业时设置焊接阶段。 | 船台装配中的关键工艺，包括外板定位焊、内面先焊、外面封底焊等操作。 | 油船结构中广泛应用的工艺，用于制作和保持油密接缝，比铆接技术更经济。 | 随着大尺度的焊接引入到船舶建造中，人们更加关注正确地选择材料和结构设计以防止可能发生的脆性破坏。 | 通过熔化或加压方式将船体零件连接成整体结构，是船体建造的重要工序。 | 船舶修理过程中用于连接金属构件的工艺，需严格遵守安全操作规程。 | 船体制造中用于连接钢板或构件的工艺，但可能因夹渣、气孔、裂纹、未焊透等缺陷导致渗漏。 | 船体结构连接工艺，需考虑接缝线布置以减少焊接引起的变形和应力。,工艺|工艺流程,domain_specific,20|21|35|36|167|47|136|137|241|251|255|256|149|7|19|280|289|292|99,885|187|25|1260|1103|1115|1128|1131|1132|1145|1147|1149|442|755|756|767|789|793|1280|1295|1307|302|310|314|1393|1400|1411|1416|1417|1418|1427|1429|1442|1444|1445|1448|1009|1010|1028|1034|1072|1081|1096|1098|1536|1537|1548|214|218|219|222|228|230|235|239|240|243|249|1570|1574|612|619|630|635|646|1487|1496|1497|834|124|287|288|661|663|664|667|668|451|466|470|196|199|636|1160|500|522|540|706|711|716|717,工艺
entity_16,铆接,在第二次世界大战前用于船舶建造的主要连接方法，后被焊接技术取代。 | 传统船舶建造中使用的连接工艺，已被焊接在20世纪后期广泛替代。 | 用于连接铝合金板架结构的工艺，适用于避免焊接热变形的场合。,工艺|工艺流程,domain_specific,20|21|15,311|315|1411|1416|1417|1419|1434|222|240|630|635|638|1485|484|636|704,工艺
entity_17,预制技术,焊接工艺带来的优势之一，使船舶建造过程更加高效。,工艺,domain_specific,20,1417|636,工艺
entity_18,水密性,焊接接头能够实现的密封性能，确保船舶结构的水密性。 | 焊接接头的一种性能，指接头能够防止水渗入，是船舶建造中的重要要求。 | 船舶下水时必须具备的特性，确保船体在水中的密封性。 | 外板焊缝需检验其水密性及其余焊缝的质量。 | 水密性是船舶结构中确保舱室不漏水的特性，需通过密性试验进行验证。,性能|性能指标|工艺要求|检验|材料特性,domain_specific,20|21|271|137|143,899|1224|752|753|763|774|787|909|1397|1417|1680|1690|1521|1533|1534|1568|1591|810|844|846|265|636|711|740|1632,性能
entity_19,油密性,焊接接头能够实现的密封性能，确保船舶结构的油密性。 | 焊接接头的一种性能，指接头能够防止油渗入，是船舶建造中的重要要求。,性能|性能指标,domain_specific,20|21,1417|636,性能
entity_20,屈服强度,材料在发生塑性变形前能承受的最大应力，用于选择高屈服强度钢作为大型船舶结构材料。,材料性能,domain_specific,20,1441|660,材料性能
entity_21,屈曲强度,材料在受压时发生屈曲的临界应力，用于评估船体结构的稳定性。,材料性能,domain_specific,20,1415|634,材料性能
entity_22,计算机评估程序,用于评估船舶结构屈曲强度的工具，特别是在需要进一步评估屈曲时使用。,设备/工具,domain_specific,20,1416|635,设备
entity_23,应力监控设备,用于实时监测船舶应力和运动状态的设备，包括应变片、加速计和软件系统。,设备,domain_specific,20,unknown,设备
entity_24,SEA符号,表示船舶安装了实时应力和运动监控设备的标识，若还连接有数据记录器则为SEA（R）。,标识,domain_specific,20,unknown,标识
entity_25,熔焊,通过热源熔化待接合材料边缘的焊接工艺，用于造船中的焊接工艺，包括气体焊、电弧焊、激光焊和电阻焊。,工艺流程,domain_specific,21,636,工艺流程
entity_26,气体焊,使用气体火焰作为热源的熔焊工艺，如氧乙炔焊接，适用于薄的低碳钢板，但已基本退出造船领域。,工艺流程,domain_specific,21,1417|636,工艺流程
entity_27,氧乙炔火焰,由氧气和乙炔混合产生的高温火焰，用于气体焊接，具有焰芯和外焰两个区域，温度可达 $3000^{circ}mathrm{C}$。,设备/工具,domain_specific,21,1418|1437|637|656,设备
entity_28,电弧焊,通过电弧产生高温熔化金属的焊接工艺，用于船舶建造，包括手动、半自动和自动三种工艺。,工艺流程,domain_specific,21,1417|1419|1420|1010|638|639|636,工艺流程
entity_29,焊丝,用于电弧焊的金属材料，可被浸在焊剂中以获得更稳定的电弧，或被覆盖层包裹以保护焊缝。 | 焊接过程中用于熔化的金属芯线，通常为低碳钢，用于“熔化”钢的元素，如硅或铝，但这些元素可能使电弧不稳定。 | 熔化极气体保护焊中使用的可消耗金属材料，用于形成焊缝，直径和电流选择影响焊接效果。 | 用于焊接的填充金属，可使用不同材质和直径，Tandem法中两根焊丝可独立设定参数。,材料部件|材料,domain_specific,21|22|23|226,1420|1421|1425|1426|1427|1430|1431|1014|1015|1016|1020|1021|1022|1023|245|246|249|639|640|644|645|646|649|250|650,材料部件
entity_30,焊条,用于手工电弧焊的金属材料，芯线通常为沸腾钢，覆盖层由硅质矿物、氧化物、氟化物等混合物组成。 | 用于焊接的金属芯线与覆盖层组成的复合材料，覆盖层由硅质矿物、氧化物、氟化物、碳化物、碳氢化合物的混合物和粉末金属合金以及液体黏合剂组成，用于提供气体保护、电弧稳定性和保护熔化的焊接金属。 | 用于焊接的金属材料，需通过船级社的破坏性试验以确保其符合船舶建造规范。,材料部件,domain_specific,21|22|28,302|1320|1419|1420|1421|1422|1453|243|638|639|640|641|672,材料部件
entity_31,熔渣保护工艺,通过焊剂覆盖焊丝或焊缝，形成固体渣以保护焊缝不与大气中的氧气和氮气接触的工艺。,工艺流程,domain_specific,21,1420|639,工艺流程
entity_32,焊剂,用于覆盖焊丝或焊缝的材料，可形成保护渣，防止焊缝与空气接触，常见于熔渣保护工艺中。 | 用于埋弧焊等工艺中的粒状材料，分解后为电弧提供气体和热绝缘保护，熔化金属被熔融焊剂保护。 | 用于电渣焊工艺中，阻断加热路径并形成熔池，由焊工手动送入，影响焊接质量和颗粒结构。,材料部件|材料,domain_specific,21|22|23,1418|1420|1423|1424|1430|246|637|639|642|643|649,材料部件
entity_33,焊枪,用于气体焊接的工具，由细长铜嘴和气体混合器组成，用于调整氧和乙炔的吹气比率。 | 用于气体保护焊和埋弧焊等工艺的设备，用于输送焊丝、导电和保护电弧。 | 用于输送焊丝和保护气体的工具，包含导电管和导轮，是焊接过程中关键的执行设备。 | 用于双丝焊接的特殊装置，两根焊丝按一定角度放置，分别由各自电源供电，可独立控制电弧参数。,设备/工具|设备,domain_specific,21|22|23|226,1132|1419|1425|1429|1436|1437|1014|1015|1018|245|638|644|648|655|656,设备
entity_34,气泵,用于提供压缩氧气和乙炔的设备，通常用不同颜色区分（红——乙炔，黑——氧），并配有稳压器。,设备/工具,domain_specific,21,1419|638,设备
entity_35,焊灯,用于气体焊接的工具，提供混合气体并产生火焰，用于调节乙炔和氧气的比例。,设备/工具,domain_specific,21,1418|637,设备
entity_36,焊缝,焊接过程中形成的金属连接部分，通过熔化材料边缘并冷却形成，需保护以防止氧化。 | 焊接过程中形成的金属连接部位，是船舶结构中的关键连接点，其外观和内部质量直接影响船舶的安全性和可靠性。 | 焊接后形成的连接结构，包括外板舱内对接缝、纵横骨架与外板间的角接缝等。 | 船体结构中连接各部件的接合部位，密性试验前需清除焊渣、油污、锈蚀等，并保持清洁。 | 船舶结构中的连接部位，密性试验用于检查其有无渗漏现象。 | 焊缝是船舶结构中通过焊接连接的接合部位，其密封性需通过密性试验进行验证。焊缝的类型和厚度会影响密性试验方法的选择，如煤油试验和气压试验适用于不同厚度的焊缝。 | 连接船体结构的金属接合部位，其布置和尺寸直接影响焊接变形和结构强度。 | 钢板连接处的接合部位，需避免布置在应力集中处，且平行对接焊缝间距应不小于100mm。 | 船体结构中的连接部位，用于连接钢板或构件，其质量直接影响船体的密封性和强度，但易因夹渣、气孔、裂纹、未焊透等缺陷导致渗漏。,材料部件|结构部件|部件,domain_specific,21|28|137|248|142|143|154|291|292,1261|1103|1117|1283|304|1411|1320|1420|1442|1450|1451|1452|1017|1018|1071|214|221|249|630|639|1498|264|265|266|267|268|269|271|272|273|280|660|661|669|670|671|476,材料部件
entity_37,低碳钢,用于焊接的金属材料，具有较低的碳含量，适用于气体焊和电弧焊。 | 全船结构中常用的材料，用于承受最大载荷的主船体强度构件，如B级、D级和E级钢作为厚板材料。 | 用于船舶建造的低碳钢需在船级社批准的工艺下生产，并需进行拉伸试验和冲击试验以确保其性能符合要求。 | 普遍使用低碳钢建造的船舶尤其易于发生脆性破坏，需要对其进行额外考虑。 | 用于制造舱口盖的材料，其顶部厚度应不低于1%加强筋间距或6mm，取其大者，且需满足强度和硬度要求。,材料部件|材料,domain_specific,21|58|17|19|83,759|1377|1400|1401|1402|1412|1421|1427|1441|596|1523|1540|866|1586|1587|619|620|621|631|640|646|805|806|660|504|742,材料部件
entity_38,沸腾钢,用于焊条芯线的材料，具有良好的可拉拔性，但可能影响电弧稳定性。 | 当只有少量脱氧材料被添加进熔态金属时才会产生沸腾钢。这种钢材中存在和碳结合的氧以及其他气体，并且在凝固时会在中心部位形成大量气孔。,材料部件|材料,domain_specific,21|12,1380|1421|599|640,材料部件
entity_39,硅,用于焊条覆盖层的成分之一，有助于稳定电弧，但可能使熔化钢不适合。,材料部件,domain_specific,21,1377|1380|1418|1421|596|599|640,材料部件
entity_40,铝,具有高熔点氧化物的金属，焊接时需要使用焊剂去除氧化物。 | 用于牺牲阳极保护系统的阳极材料，可安装在油船中，但需限制在势能小于28 kg·m的位置。 | 舾装工程中使用的材料之一，用于制造各种舾装件。,材料部件|材料,domain_specific,21|73|86,869|3|1380|1391|1395|1398|1401|1418|1421|1424|1425|1426|599|1016|1023|1050|1052|866|610|614|617|620|637|640|643|644|645|141|143|1647|1650,材料部件
entity_41,不锈钢,具有高熔点氧化物的金属，焊接时需要使用焊剂去除氧化物。 | 一种耐腐蚀金属材料，适用于潜弧焊和热丝电弧焊，单道焊透3~12mm。,材料部件|材料,domain_specific,21|226,1384|1385|1418|1436|1016|1019|1050|604|637|143|144|145|655|504,材料部件
entity_42,焊剂金属,用于填充空心焊丝的材料，在焊接过程中固化形成固体渣，保护焊缝。,材料部件,domain_specific,21,1420|639,材料部件
entity_43,填充金属,用于焊接过程中连接零件的金属材料，通常由焊条提供。,材料部件,domain_specific,21,1419|638,材料部件
entity_44,气体火焰,由气体燃烧产生的高温火焰，用于气体焊接，具有不同的燃烧特性。,设备/工具,domain_specific,21,1419|638|167,设备
entity_45,钎焊,不需要达到被连接金属熔化温度的焊接工艺，常用于气体火焰的辅助应用。,工艺流程,domain_specific,21,1419|638,工艺流程
entity_46,焊条覆盖层,覆盖在焊丝上的混合物，由硅质矿物、氧化物、氟化物等组成，用于保护焊缝。 | 焊条外层的涂层，由硅质矿物、氧化物、氟化物、碳化物、碳氢化合物的混合物和粉末金属合金以及液体黏合剂组成，用于提供气体保护、电弧稳定性和保护熔化的焊接金属。,材料部件,domain_specific,21|22,1418|640,材料部件
entity_47,液体黏合剂,用于焊条覆盖层的成分之一，帮助将混合物粘附在焊丝上。,材料部件,domain_specific,21,1421|640,材料部件
entity_48,焊丝拉拔,将焊丝从原材料中拉拔成所需形状的过程，用于制造焊条芯线。,工艺流程,domain_specific,21,1421|640,工艺流程
entity_49,焊缝固化,焊接过程中熔化的金属冷却后形成的连接部分，需通过保护措施防止氧化。,工艺流程,domain_specific,21,unknown,工艺流程
entity_50,焊缝保护,通过熔渣或其他方式防止焊缝与空气接触，避免气孔等缺陷。,工艺流程,domain_specific,21,unknown,工艺流程
entity_51,焊缝气孔,由于氧气渗入熔化的金属中，在冷却后形成的气泡，影响焊缝质量。,缺陷,domain_specific,21,unknown,缺陷
entity_52,焊缝氧化,焊缝在冷却过程中与空气中的氧气接触，导致金属氧化，影响性能。,缺陷,domain_specific,21,unknown,缺陷
entity_53,焊缝冶金问题,由于焊接过程中引入的碳粒子或其他杂质，导致金属材料性能下降的问题。,缺陷,domain_specific,21,unknown,缺陷
entity_54,焊缝脱碳,在焊接过程中，钢材料因高温氧化而失去碳元素，导致性能下降。,缺陷,domain_specific,21,unknown,缺陷
entity_55,焊缝硅耗尽,焊接过程中硅元素被消耗，导致电弧不稳定，影响焊接质量。,缺陷,domain_specific,21,unknown,缺陷
entity_56,焊缝填充,在焊接过程中，通过填充金属使焊缝达到所需形状和强度。,工艺流程,domain_specific,21,unknown,工艺流程
entity_57,焊缝冷却,焊接完成后，熔化的金属逐渐冷却形成固态焊缝。,工艺流程,domain_specific,21,unknown,工艺流程
entity_58,焊缝温度,焊接过程中熔化金属的温度，影响焊接质量和材料性能。,性能指标,domain_specific,21,unknown,性能指标
entity_59,焊缝热源,用于提供足够热量以熔化金属的装置，如气体火焰、电弧等。,设备/工具,domain_specific,21,unknown,设备
entity_60,焊缝热传导,热量从热源传递到金属板的过程，影响焊接速度和质量。,工艺流程,domain_specific,21,unknown,工艺流程
entity_61,焊缝热效率,焊接过程中热量利用效率，影响焊接速度和材料性能。,性能指标,domain_specific,21,unknown,性能指标
entity_62,焊缝热输入,焊接过程中输入的热量，影响焊缝形状和材料性能。,性能指标,domain_specific,21,unknown,性能指标
entity_63,焊缝热影响区,焊接过程中受热影响的金属区域，可能引起材料性能变化。,性能指标,domain_specific,21,unknown,性能指标
entity_64,焊缝热变形,焊接过程中由于热膨胀引起的金属变形，可能影响结构完整性。,缺陷,domain_specific,21,unknown,缺陷
entity_65,焊缝热应力,焊接过程中产生的热应力，可能引起材料裂纹或变形。,性能指标,domain_specific,21,unknown,性能指标
entity_66,焊缝热处理,焊接完成后对焊缝进行的热处理，以改善材料性能。,工艺流程,domain_specific,21,unknown,工艺流程
entity_67,焊缝热膨胀,焊接过程中金属因受热而膨胀的现象，可能引起结构变形。,性能指标,domain_specific,21,unknown,性能指标
entity_68,焊缝热传导率,金属材料传导热量的能力，影响焊接速度和质量。,性能指标,domain_specific,21,unknown,性能指标
entity_69,焊缝热传导效率,焊接过程中热量传递的效率，影响焊接速度和材料性能。,性能指标,domain_specific,21,unknown,性能指标
entity_70,焊缝热传导路径,热量从热源传递到金属板的路径，影响焊接质量和效率。,工艺流程,domain_specific,21,unknown,工艺流程
entity_71,焊缝热传导速度,热量从热源传递到金属板的速度，影响焊接速度和质量。,性能指标,domain_specific,21,unknown,性能指标
entity_72,焊缝热传导时间,热量从热源传递到金属板所需的时间，影响焊接速度和质量。,性能指标,domain_specific,21,unknown,性能指标
entity_73,焊缝热传导强度,焊接过程中热量传递的强度，影响焊接速度和材料性能。,性能指标,domain_specific,21,unknown,性能指标
entity_74,焊缝热传导方式,热量从热源传递到金属板的方式，如传导、对流、辐射等。,工艺流程,domain_specific,21,unknown,工艺流程
entity_75,焊缝热传导模式,焊接过程中热量传递的模式，如传导、对流、辐射等。,工艺流程,domain_specific,21,unknown,工艺流程
entity_76,金红石焊条,焊条的一种类型，其涂层包含高比例的二氧化钛，需要电极，易于控制，能完成性能良好的焊接。,材料部件,domain_specific,22,1422|641,材料部件
entity_77,碱性焊条,焊条的一种类型，其涂层含有大量石灰，制造过程中将涂层中的水分减少到最小以确保低氢性质，其焊接金属的机械性质优于其他形式，通常用于焊接高抗拉强度钢。 | 用于焊接吊环的焊条，型号为SH507.01，或取略高于吊环强度的焊条。,材料部件|材料,domain_specific,22|142,1422|641|262,材料部件
entity_78,药芯焊丝,用于机械焊接的焊丝，允许高沉积速率，提高了焊接质量，常用于带有陶质衬垫的单面焊接。 | 焊剂裹在管状的薄钢带内，用于CO₂气体保护焊，可改善焊缝成型和飞溅。,材料部件,domain_specific,22|138,1422|1430|1431|1444|245|246|641|649|650|663,材料部件
entity_79,埋弧焊,一种电弧焊接法，其中电弧保持在粒状焊剂的覆盖层下，利用可消耗的填充焊丝，电弧在焊丝和母板之间，焊剂分解并提供气体和热绝缘保护，适用于大厚度焊接接头。,工艺流程,domain_specific,22,1422|1423|641|642|503,工艺流程
entity_80,电栓焊,一种电弧保护工艺，电弧在螺柱（焊条）和螺柱所附属板之间被拉伸，螺柱被插入焊枪块中，电弧熔化螺柱尾部和板的表面，用于螺栓的固定，为管栅、电缆槽等提供安全连接。,工艺流程,domain_specific,22,1424|643,工艺流程
entity_81,气体保护焊,一种焊接工艺，使用惰性气体保护焊接金属不与空气接触，主要应用于自动或半自动焊，用于轻型钢结构和铝合金的焊接。,工艺流程,domain_specific,22,317|1424|1012|643|503,工艺流程
entity_82,钨极氩弧焊,一种焊接工艺，电弧在水冷式非自耗的钨焊条和板之间产生，使用惰性保护气（如氩气）保护焊接金属，适用于焊接铝和钢，特别是薄铝板。,工艺流程,domain_specific,22,1424|1425|643|644,工艺流程
entity_83,熔化极惰性气体保护焊,一种氩弧焊的扩展工艺，使用可消耗金属焊丝作为填充金属，通过送丝电机提供焊丝，惰性气体保护电弧，适用于船厂的多种焊接工作。 | 一种焊接工艺，使用可消耗金属焊丝作为电极，并通过惰性气体保护电弧，常用于铝及低碳钢的焊接。,工艺流程,domain_specific,22|23,1425|1426|644|645,工艺流程
entity_84,陶瓷插芯,用于电栓焊中，套在螺柱上以阻止空气进入焊接区域，同时集中电弧热量，限制熔化金属在焊接区域。,材料部件,domain_specific,22,1424|643,材料部件
entity_85,螺柱焊枪,用于电栓焊的设备，用于将螺柱插入板中并产生电弧，熔化螺柱尾部和板的表面，实现螺柱与板的连接。,设备,domain_specific,22,1424|643,设备
entity_86,控制器,用于电栓焊中，测定电流产生周期时间的设备，确保焊接过程的精确控制。,设备,domain_specific,22,1271|939|1424|643,设备
entity_87,导轮,用于送丝电机中，引导焊丝通过焊枪中的导电管，确保焊丝的稳定输送。 | 用于引导焊丝通过焊枪的机械部件，确保焊丝稳定输送，是熔化极气体保护焊的重要组件。,设备,domain_specific,22|23,1425|644,设备
entity_88,送丝电机,用于气体保护焊和熔化极惰性气体保护焊中，提供焊丝的连续输送，确保焊接过程的连续性。 | 用于输送焊丝的电动装置，确保焊丝以适当的速度送入焊枪，是熔化极气体保护焊的重要组成部分。,设备,domain_specific,22|23,1425|644,设备
entity_89,导电管,用于焊枪中，连接焊丝和工件，建立电连接，确保电弧的稳定产生。 | 连接焊枪与工件的导电部件，用于建立电弧，是熔化极气体保护焊中的关键组件。,设备,domain_specific,22|23,1425|644,设备
entity_90,直流电源,用于焊接过程中提供电能，通过活性电极普通金属的转移完成焊接，尤其在焊接铝时通过阴极活动去除氧化膜。,设备,domain_specific,22,1425|644,设备
entity_91,氩弧焊,一种焊接工艺，使用惰性气体保护电弧，焊条被替换为可消耗金属焊丝，用于铝的焊接。,工艺流程,domain_specific,23,1429|648,工艺流程
entity_92,MIG/CO₂焊,一种使用二氧化碳作为保护气体的熔化极气体保护焊工艺，广泛应用于低碳钢的焊接，适用于平位焊接。,工艺流程,domain_specific,23,unknown,工艺流程
entity_93,MAGS焊,活性气体保护电弧焊的另一种称呼，通常指MIG/CO₂焊工艺，用于提高焊接效率和降低成本。,工艺流程,domain_specific,23,1428|647,工艺流程
entity_94,等离子焊,一种与氩弧焊相似的焊接工艺，通过等离子弧进行焊接，具有更深的熔透性和更好的表面包容性，适用于薄板和厚板焊接。,工艺流程,domain_specific,23,1429|647|648,工艺流程
entity_95,电渣焊,一种用于焊接重型结构组件的工艺，如艉架和舷侧外板，通过焊剂阻断加热路径，形成熔池，适用于厚板焊接。,工艺流程,domain_specific,23,1430|649|503,工艺流程
entity_96,舷侧外板,船舶船体结构的一部分，位于船体侧面，用于承受外部压力和水流冲击，常用于电渣焊工艺。 | 船舶侧面的主要结构板，焊接顺序对其变形和整体结构完整性有重要影响。 | 船舶船体的外侧板结构，通常在单元建造中采用焊接技术连接。 | 船体侧面的外板，局部漆膜擦伤可能导致电化学腐蚀，需进行防腐蚀处理。 | 船体侧面的外板，厚度在船中部40%船长范围内增加，末端逐渐减少，高垂向剪切力区域和抨击区域需增加板厚。 | 在船中部 $40%$ 船长范围内，舷侧外板板厚需要增加，在末端逐渐减少到规范板厚。高垂向剪切力区域厚度要增大，且在抨击区域厚度要增大。 | 覆盖球形船首的船壳板的厚度是逐渐增加的，特别是在可能被锚或锚链破坏的区域，且在锚链管处需要额外的加强结构。 | 船舶外壳的一部分，锚链管安装在其上并需要额外加强结构。 | 船体外侧的钢板结构，通常与船尾构架直接焊接在一起，有时在船壳板上设有凹槽以便安装带有艉柱零件的平甲板。 | 船舶侧面的外板结构，用于保护船体，DNV建议其宽度为600 mm。 | 船体侧面的外层钢板，需进行除锈、油漆等处理，且不得临时开口。 | 船体侧部的外板，用于构成船体外壳，与主甲板相连的称为舷顶列板。,材料部件|部件,domain_specific,23|27|35|163|43|44|54|55|56|14|291|98,786|789|794|1387|1339|1355|1448|558|574|1522|1524|1525|1526|1567|1570|1575|1588|1589|606|1487|61|807|808|667|353|377|741|743|744|745,材料部件
entity_97,惰性气体,用于保护电弧的气体，如氩气，防止氧化和污染，常用于熔化极惰性气体保护焊。,材料,domain_specific,23,850|862|1425|1426|1440|1609|644|645|828|659|1631|1643,材料
entity_98,CO₂,作为保护气体用于MIG/CO₂焊工艺，替代昂贵的氩气，用于低碳钢的焊接。,材料,domain_specific,23,1427|1431|1432|1440|646|650|651,材料
entity_99,脉冲电弧,一种焊接工艺，通过低电平电流和高电平脉冲电流结合，提高熔透效果，适用于轻型铝板的焊接。,工艺流程,domain_specific,23,1426|1015|645,工艺流程
entity_100,浸渍传递,一种MIG/CO₂焊工艺，适用于薄板焊接，通过电弧中不同模式的金属过渡完成焊接。,工艺流程,domain_specific,23,1427|646,工艺流程
entity_101,电弧,焊接过程中产生的高温等离子体，用于熔化金属并形成焊缝，通过直流电源和活性电极实现。,设备,domain_specific,23,1260|1422|1426|1427|597|1010|1014|1022|641,设备
entity_102,铜水冷模座,用于保存焊接熔池的冷却装置，常见于电渣焊工艺中，确保焊接过程的稳定性。,设备,domain_specific,23,1430|649,设备
entity_103,引弧板,用于启动和停止焊接的辅助部件，确保焊接连续性，符合焊接工艺要求。 | 拼板双面焊接合格后割除的辅助焊接部件，用于引弧和保护焊缝质量。 | 用于FCB法焊接时在焊缝两端装设的辅助部件，以提高起弧点和熄弧点的焊接质量。,材料部件|设备部件,domain_specific,23|238|126,1430|1068|649|194,材料部件
